Size(Bytes),ThreadsPerBlock,Bandwidth(GB/s)
1024,1,0.09
1024,2,0.10
1024,4,0.16
1024,8,0.17
1024,16,0.20
1024,32,0.22
1024,64,0.21
1024,128,0.22
1024,256,0.22
1024,512,0.23
1024,1024,0.22
4096,1,0.13
4096,2,0.19
4096,4,0.23
4096,8,0.26
4096,16,0.41
4096,32,0.56
4096,64,0.70
4096,128,0.81
4096,256,0.87
4096,512,0.90
4096,1024,0.87
16384,1,0.17
16384,2,0.31
16384,4,0.39
16384,8,0.34
16384,16,0.02
16384,32,1.05
16384,64,1.62
16384,128,2.33
16384,256,2.83
16384,512,3.20
16384,1024,3.36
65536,1,0.18
65536,2,0.32
65536,4,0.42
65536,8,0.50
65536,16,0.96
65536,32,1.33
65536,64,2.32
65536,128,3.89
65536,256,5.88
65536,512,7.77
65536,1024,9.88
262144,1,0.21
262144,2,0.33
262144,4,0.43
262144,8,0.51
262144,16,1.01
262144,32,1.95
262144,64,3.71
262144,128,7.00
262144,256,12.31
262144,512,15.51
262144,1024,22.73
1048576,1,0.22
1048576,2,0.33
1048576,4,0.43
1048576,8,0.52
1048576,16,1.02
1048576,32,2.00
1048576,64,3.92
1048576,128,7.73
1048576,256,14.83
1048576,512,27.21
1048576,1024,45.65
4194304,1,0.18
4194304,2,0.25
4194304,4,0.30
4194304,8,0.34
4194304,16,0.51
4194304,32,1.01
4194304,64,2.01
4194304,128,3.95
4194304,256,7.73
4194304,512,14.60
4194304,1024,25.97
16777216,1,0.18
16777216,2,0.25
16777216,4,0.30
16777216,8,0.34
16777216,16,0.51
16777216,32,1.01
16777216,64,2.01
16777216,128,3.97
16777216,256,7.84
16777216,512,15.07
16777216,1024,27.72
67108864,1,0.18
67108864,2,0.25
67108864,4,0.30
67108864,8,0.34
67108864,16,0.51
67108864,32,1.01
67108864,64,2.01
67108864,128,3.99
67108864,256,7.88
67108864,512,15.23
67108864,1024,28.36
268435456,1,0.18
268435456,2,0.25
268435456,4,0.30
268435456,8,0.34
268435456,16,0.51
268435456,32,1.01
268435456,64,2.01
268435456,128,3.99
268435456,256,7.87
268435456,512,15.22
268435456,1024,28.18
1073741824,1,0.18
1073741824,2,0.25
1073741824,4,0.30
1073741824,8,0.34
1073741824,16,0.51
1073741824,32,1.01
1073741824,64,2.01
1073741824,128,3.99
1073741824,256,7.88
1073741824,512,15.28
1073741824,1024,28.41
