Size(Bytes),ThreadsPerBlock,Blocks,Offset,Bandwidth(GB/s)
1024,128,2,1,0.28GB/s
1024,128,2,2,0.28GB/s
1024,128,2,4,0.28GB/s
1024,128,2,8,0.27GB/s
1024,128,2,16,0.29GB/s
1024,128,2,32,0.26GB/s
1024,128,2,64,0.21GB/s
1024,128,2,128,0.14GB/s
1024,128,2,256,0.00GB/s
4096,128,8,1,1.13GB/s
4096,128,8,2,1.12GB/s
4096,128,8,4,1.12GB/s
4096,128,8,8,1.11GB/s
4096,128,8,16,1.11GB/s
4096,128,8,32,1.09GB/s
4096,128,8,64,1.05GB/s
4096,128,8,128,0.98GB/s
4096,128,8,256,0.84GB/s
16384,128,32,1,4.45GB/s
16384,128,32,2,4.49GB/s
16384,128,32,4,4.47GB/s
16384,128,32,8,4.51GB/s
16384,128,32,16,4.46GB/s
16384,128,32,32,4.48GB/s
16384,128,32,64,4.41GB/s
16384,128,32,128,4.38GB/s
16384,128,32,256,4.20GB/s
65536,128,128,1,17.09GB/s
65536,128,128,2,17.13GB/s
65536,128,128,4,17.08GB/s
65536,128,128,8,17.18GB/s
65536,128,128,16,17.14GB/s
65536,128,128,32,16.96GB/s
65536,128,128,64,16.95GB/s
65536,128,128,128,16.81GB/s
65536,128,128,256,16.93GB/s
262144,128,512,1,65.70GB/s
262144,128,512,2,65.68GB/s
262144,128,512,4,65.45GB/s
262144,128,512,8,65.40GB/s
262144,128,512,16,65.40GB/s
262144,128,512,32,65.29GB/s
262144,128,512,64,65.19GB/s
262144,128,512,128,65.47GB/s
262144,128,512,256,65.06GB/s
1048576,128,2048,1,210.32GB/s
1048576,128,2048,2,210.06GB/s
1048576,128,2048,4,206.85GB/s
1048576,128,2048,8,207.39GB/s
1048576,128,2048,16,208.65GB/s
1048576,128,2048,32,208.65GB/s
1048576,128,2048,64,208.12GB/s
1048576,128,2048,128,207.18GB/s
1048576,128,2048,256,208.65GB/s
4194304,128,8192,1,334.37GB/s
4194304,128,8192,2,335.96GB/s
4194304,128,8192,4,335.10GB/s
4194304,128,8192,8,335.80GB/s
4194304,128,8192,16,336.32GB/s
4194304,128,8192,32,333.73GB/s
4194304,128,8192,64,334.00GB/s
4194304,128,8192,128,331.29GB/s
4194304,128,8192,256,332.31GB/s
16777216,128,32768,1,469.20GB/s
16777216,128,32768,2,464.84GB/s
16777216,128,32768,4,466.80GB/s
16777216,128,32768,8,464.69GB/s
16777216,128,32768,16,468.90GB/s
16777216,128,32768,32,469.05GB/s
16777216,128,32768,64,465.79GB/s
16777216,128,32768,128,467.16GB/s
16777216,128,32768,256,470.44GB/s
67108864,128,131072,1,522.03GB/s
67108864,128,131072,2,516.84GB/s
67108864,128,131072,4,517.32GB/s
67108864,128,131072,8,517.18GB/s
67108864,128,131072,16,516.72GB/s
67108864,128,131072,32,518.37GB/s
67108864,128,131072,64,515.95GB/s
67108864,128,131072,128,516.78GB/s
67108864,128,131072,256,516.40GB/s
268435456,128,524288,1,521.35GB/s
268435456,128,524288,2,522.19GB/s
268435456,128,524288,4,522.70GB/s
268435456,128,524288,8,522.43GB/s
268435456,128,524288,16,522.58GB/s
268435456,128,524288,32,522.45GB/s
268435456,128,524288,64,521.28GB/s
268435456,128,524288,128,522.42GB/s
268435456,128,524288,256,522.41GB/s
1073741824,128,2097152,1,532.08GB/s
1073741824,128,2097152,2,532.08GB/s
1073741824,128,2097152,4,531.88GB/s
1073741824,128,2097152,8,532.32GB/s
1073741824,128,2097152,16,532.20GB/s
1073741824,128,2097152,32,531.68GB/s
1073741824,128,2097152,64,531.68GB/s
1073741824,128,2097152,128,531.83GB/s
1073741824,128,2097152,256,531.84GB/s
