Size_MB,H2D_Pageable,H2D_Pinned,D2H_Pageable,D2H_Pinned,D2D
0.001,0.159356,0.368811,0.121637,0.383390,0.293995
0.002,0.324395,0.734525,0.244083,0.772506,0.589554
0.004,0.643265,1.694175,0.477633,1.787919,1.178335
0.008,1.262074,2.879452,0.894216,3.648755,2.399938
0.016,2.257167,4.863521,1.682986,6.841549,4.857695
0.031,3.453030,6.842590,2.748291,8.752939,9.707597
0.062,4.600684,8.656233,3.906786,10.207018,19.685794
0.125,5.205080,9.972066,5.007357,11.160908,38.999382
0.250,5.998649,10.805184,5.786883,11.706596,78.915193
0.500,6.473095,11.260553,6.236868,11.978059,156.601920
1.000,6.752504,11.465269,6.506986,12.057539,335.328529
2.000,8.496507,11.589911,8.436318,12.169687,669.480013
2.250,8.708242,11.628042,8.845559,12.182725,756.946960
2.500,8.938968,11.636114,9.244937,12.190108,791.143696
2.750,9.138727,11.649392,9.558928,12.198870,615.079820
3.000,9.314495,11.658237,9.413468,12.204597,278.906489
4.000,9.768702,11.687244,9.959891,12.224618,235.631508
16.000,10.979384,11.754432,11.439792,12.262560,242.673066
64.000,11.329937,11.770473,11.894967,12.275399,246.502724
256.000,11.440975,11.774425,12.012434,12.278207,245.934719
1024.000,11.467677,11.775636,12.040097,12.279367,245.152797
